,Time,Transaction Hash URL,Profit,Cost,Revenue
3608,2024-06-17 13:57:56,https://eigenphi.io/mev/bsc/tx/0xdc4ed2746efdf6c5c7b621f46df8a0c2ca99b1e78dc2451daa64743317d4713c,<$0.01,$0.21,$0.21
3624,2024-06-17 13:54:05,https://eigenphi.io/mev/bsc/tx/0xb082958980b2204eb75bd31c25b74ffc05a229c0b74c82a0354f9473e886ab5a,-$0.24,$0.25,<$0.01
3652,2024-06-17 13:45:44,https://eigenphi.io/mev/bsc/tx/0x2f7e54f90f9399dd2a03c19634d5c756e8e68f4f80d06edaec17e1a63ada4475,<$0.01,$0.16,$0.16
3654,2024-06-17 13:44:41,https://eigenphi.io/mev/bsc/tx/0x783c9061c02f997406739c28b7d11809ec33a94a40c2f064ddc49f64176036eb,<$0.01,$0.13,$0.13
3656,2024-06-17 13:44:26,https://eigenphi.io/mev/bsc/tx/0x53a2c777e63026a8d5a17faf28309ac0746ec7e148168a1a077438e323e53eb8,<$0.01,$4.94,$4.95
3669,2024-06-17 13:40:22,https://eigenphi.io/mev/bsc/tx/0x811f96fefcb503cfc63ea05ec26b36aeff0ddfc9b4f0abcfbbc60f33d4f9e96d,<$0.01,$0.14,$0.14
3676,2024-06-17 13:38:04,https://eigenphi.io/mev/bsc/tx/0x3aeaaf880c614bf83f37fa9f67e15c13f0d7448e6e71c4faee433b29a3831813,-$0.39,$0.39,<-$0.01
3687,2024-06-17 13:34:04,https://eigenphi.io/mev/bsc/tx/0xbd129ef31a89487b714f3c7f87f804d47d5eeccf12e5aef71e4aaea6abb05e6a,<$0.01,$0.20,$0.20
3730,2024-06-17 13:23:05,https://eigenphi.io/mev/bsc/tx/0xb9f79e8101889d33c58bffffd9581ee8a0980a8e98492426e631dd504573feed,<$0.01,$0.16,$0.17
3767,2024-06-17 13:12:29,https://eigenphi.io/mev/bsc/tx/0xfed9ffd89b70da3da2063dd7ed2d52b8bb5a777ba01d2608cf5a4a2e02bcf212,<$0.01,$0.12,$0.13
3790,2024-06-17 13:07:38,https://eigenphi.io/mev/bsc/tx/0xd118ef687cb9cbb6bd9459de3c23bba7f4fc070665c7ed7435a884bfa9744bd6,<$0.01,$0.21,$0.22
3797,2024-06-17 13:06:38,https://eigenphi.io/mev/bsc/tx/0xb70683c8631b9cc59bc881919e84c1faf15fd5aa7b38ba64bbb0ea15d1fe9b8f,<$0.01,$0.13,$0.13
3874,2024-06-17 12:51:32,https://eigenphi.io/mev/bsc/tx/0x888dfb4b64adcae7b69b6dd6cb520c58b97f07a10566fbbe462ec62570d28639,<-$0.01,$0.18,$0.18
3886,2024-06-17 12:46:56,https://eigenphi.io/mev/bsc/tx/0x5f21c9ce35f8e5d84ceb83540fdb071320f98f9afd5eb839ed4fa1af46b5c147,<$0.01,$0.32,$0.32
3903,2024-06-17 12:42:01,https://eigenphi.io/mev/bsc/tx/0x7437cb88f413e09635076eba8bdb4769370aaaa1ae35336609602277aad11f98,<-$0.01,$0.63,$0.62
3909,2024-06-17 12:41:04,https://eigenphi.io/mev/bsc/tx/0x82af0f84f5f9325b7dd52e9f7cebf170eb2f4ae75ae44bcf312ec072570f96e1,<-$0.01,$1.60,$1.59
3951,2024-06-17 12:31:31,https://eigenphi.io/mev/bsc/tx/0xbb9ac10557c65a7429459daa5218859b3367dbf68bd5ccaabb2355c7d90db537,<-$0.01,$0.26,$0.26
3977,2024-06-17 12:25:46,https://eigenphi.io/mev/bsc/tx/0x9d93ca3de36de12cc8bbd1ad5beaf624d4a372b3c1ee4c0653805018ab41d762,<$0.01,$2.00,$2.00
3999,2024-06-17 12:19:07,https://eigenphi.io/mev/bsc/tx/0x177120604d81c6e1835261f72256eaf03fb148fd4c9b33b469a0306d74f707df,<-$0.01,$0.33,$0.32
4073,2024-06-17 12:04:55,https://eigenphi.io/mev/bsc/tx/0xdb328521ccedf72d9638a52115eace70d0b745199ec57515471ba2853b7c873b,<$0.01,$0.21,$0.22
4104,2024-06-17 11:55:55,https://eigenphi.io/mev/bsc/tx/0xdca356b9d11915003e0393a5b6a3006f44361c33a692ca4562e50da973aafe09,<$0.01,$0.15,$0.16
4178,2024-06-17 11:38:06,https://eigenphi.io/mev/bsc/tx/0xaa61a8cefb3f55e7d8edeff5d226e1d10620bf89af261d8c6b6a11966471271c,<$0.01,$0.13,$0.14
4205,2024-06-17 11:33:27,https://eigenphi.io/mev/bsc/tx/0xa31f76e282df4efadc4912548a73b7c8a9558fb062cc5281856fafa0280ea2d9,<$0.01,$0.14,$0.15
4241,2024-06-17 11:26:57,https://eigenphi.io/mev/bsc/tx/0x9cfd5abd363f66f14808028772fab9423450246651da42f67d2e076146a14b4b,<$0.01,$0.14,$0.15
4266,2024-06-17 11:22:21,https://eigenphi.io/mev/bsc/tx/0xe17f4a347910eeb3127a04551b24fe497471e0f6987e9cc234c684560fd5c5f2,<-$0.01,$0.28,$0.28
4270,2024-06-17 11:20:57,https://eigenphi.io/mev/bsc/tx/0xba93929006793295d47899ade7a70dcaeb36b7b2d0520079b21089985ccde9bb,<-$0.01,$0.28,$0.27
4334,2024-06-17 11:05:12,https://eigenphi.io/mev/bsc/tx/0x58594e6606bc6ec6f8d6dfdcbddc2e4761e36c4f4399ae04fe06a060a9e0845c,<-$0.01,$0.37,$0.37
4359,2024-06-17 11:01:15,https://eigenphi.io/mev/bsc/tx/0x2b3b5f4ccac2bd605448ee7123f570a8e693c7f31c07266d565f104270ffadae,<-$0.01,$0.33,$0.32
4375,2024-06-17 10:59:00,https://eigenphi.io/mev/bsc/tx/0xbbfd6e5dc43a6bd5168646a6c19adcee775d24fc9bf9de2fbc9feb4cfa46705f,<$0.01,$0.54,$0.55
4382,2024-06-17 10:58:12,https://eigenphi.io/mev/bsc/tx/0xb45231d318a37c893e4d209a17ac21c323d82159ee8f2f684555a38e88e4999c,<$0.01,$0.44,$0.45
4395,2024-06-17 10:53:30,https://eigenphi.io/mev/bsc/tx/0x5eedce988424e0194cc6373b9ed0f31c2663d00d6a08fe4de81e4e375df86003,<$0.01,$0.23,$0.24
4456,2024-06-17 10:40:11,https://eigenphi.io/mev/bsc/tx/0x44fd19bd3e279dc6021c69569b7008c6bf53a28d34845c3047178a3eb18748f9,<$0.01,$0.18,$0.18
4617,2024-06-17 10:01:05,https://eigenphi.io/mev/bsc/tx/0xc37612d798e851d77d2d5e1a35b7f25e789cffa09571bdaf437f3e03149cf080,<$0.01,$0.18,$0.19
4654,2024-06-17 09:51:56,https://eigenphi.io/mev/bsc/tx/0x84b18e0764bafe9656e004501e3ea1ff1d0fe7cc9b7d7c1ae4ecb89b70805be0,<$0.01,$0.23,$0.24
4667,2024-06-17 09:49:44,https://eigenphi.io/mev/bsc/tx/0x68b8fe5a76c3698d1cf910411be1d5ace754bfcaba35844e4705fac41ac62a9c,<-$0.01,$0.33,$0.32
4676,2024-06-17 09:47:17,https://eigenphi.io/mev/bsc/tx/0x1463990b8db0d5ce037588317f705da3d386f17b99b6d33147cb4dba02d5180a,<$0.01,$0.23,$0.24
4715,2024-06-17 09:39:02,https://eigenphi.io/mev/bsc/tx/0xfb97962970e8e08d756b8ab8b502c0f6d37a37959c1fec2a6067945ea77797ab,<$0.01,$0.30,$0.30
4975,2024-06-17 08:46:34,https://eigenphi.io/mev/bsc/tx/0x2ab674ace674c741dd08457a59fa9874e386b19c717e601ba97bcbb66f942062,<$0.01,$0.13,$0.14
5034,2024-06-17 08:28:25,https://eigenphi.io/mev/bsc/tx/0xca8f63d52fac017602e84b9db05d0d82df45ad590c27db34fa4684496cdd821d,<$0.01,$0.40,$0.40
5035,2024-06-17 08:28:16,https://eigenphi.io/mev/bsc/tx/0xe0993116f8ec2a8bc244f7a1eee7b41fdfa533349a2c79fea4ea3743dedd531e,<$0.01,$3.65,$3.66
5085,2024-06-17 08:12:40,https://eigenphi.io/mev/bsc/tx/0x81b4b40c1d299b54ea2d78283bef6ce6c04dce19845ff6f2055390e10f82d95d,<-$0.01,$0.24,$0.24
5090,2024-06-17 08:11:49,https://eigenphi.io/mev/bsc/tx/0x3b7f72128eb510e3097d4dd0e8520e0230dafe791f6b64b6a3bb8a356e8afe80,<-$0.01,$0.35,$0.34
5195,2024-06-17 07:44:33,https://eigenphi.io/mev/bsc/tx/0x9a2db40df18581e577487c1db3fd410a0654a7eea9336c61fccda953b33c3841,<$0.01,$0.14,$0.14
5216,2024-06-17 07:38:45,https://eigenphi.io/mev/bsc/tx/0xc0dea5ab9cb89d491a7a2fed3e87f6908c62c6cbc8c93b7a4a084de22e71dadc,<$0.01,$0.12,$0.13
5227,2024-06-17 07:34:18,https://eigenphi.io/mev/bsc/tx/0xed131ef7f583259523377f29b2e6ff7df9feecee891d455bb7a9b1804e0cf526,<$0.01,$0.79,$0.80
5234,2024-06-17 07:31:42,https://eigenphi.io/mev/bsc/tx/0x59aedc3051b0ecbb6d36733e5188a7d42052d85d189f1d890ace74292c18dafe,<$0.01,$0.14,$0.14
5251,2024-06-17 07:29:09,https://eigenphi.io/mev/bsc/tx/0x834040fbb181d901ae37ad58eac00774ec0a43ac68b9bfcd19f00504eb12ea8e,<-$0.01,$0.21,$0.21
5255,2024-06-17 07:27:30,https://eigenphi.io/mev/bsc/tx/0xbc37592dfd368d3b77b204ac691376ae08c884ab971e8b22e575c61ffa62be33,<$0.01,$0.21,$0.21
5376,2024-06-17 06:57:34,https://eigenphi.io/mev/bsc/tx/0x14ce8bc7cca3dc667f6fe24ebf63a3fced8d5672260b7ae1fc47798f9e279abd,<$0.01,$0.12,$0.13
5412,2024-06-17 06:46:13,https://eigenphi.io/mev/bsc/tx/0x2fff2e6ff9a101df04828d886e79177c5a6faff1dd3feb1d4ed8315a9261d10b,<$0.01,$0.14,$0.15
