,time,timestamp,RabbitX,GMX_Arbitrum,dYdX
75,2024-03-27,1711497600,401946756.0082,61716216.92676704,2803829300.000002
76,2024-03-26,1711411200,261766771.6775,21510291.867634863,1801885199.999975
77,2024-03-25,1711324800,212086630.0887,34341260.04613769,2688615800.0000463
78,2024-03-24,1711238400,109769544.5364,20034732.06314721,1443872599.9999855
79,2024-03-23,1711152000,75734502.4955,20647177.71173787,1622915099.999996
80,2024-03-22,1711065600,161029342.8349,26783843.517514143,2629504500.000021
81,2024-03-21,1710979200,166528760.682,15663129.761037655,3858530999.9999914
82,2024-03-20,1710892800,327642886.93,44010018.60601201,4897398900.000002
83,2024-03-19,1710806400,470759583.0244,48029388.77813006,6602454600.000133
84,2024-03-18,1710720000,259476927.4013,32483416.56318743,2347488200.0000286
85,2024-03-17,1710633600,251018140.1354,25389213.80422053,2399159300.0000033
86,2024-03-16,1710547200,244757718.365,23329611.55571772,3390794900.000033
87,2024-03-15,1710460800,610110197.5865,34450511.98738347,7572089900.000534
88,2024-03-14,1710374400,518240970.5701,36623411.55972095,4837326600.000092
89,2024-03-13,1710288000,401990982.032,22360816.57371204,3090947800.0000434
90,2024-03-12,1710201600,365830992.7517,20395566.168738056,5633359200.0000925
91,2024-03-11,1710115200,503307330.0192,92908259.3854986,5629902600.000221
92,2024-03-10,1710028800,147209299.5948,20818698.51146246,2652749100.000049
93,2024-03-09,1709942400,28875758.9223,3021513.6411922937,732511599.9999866
94,2024-03-08,1709856000,289380888.6507,12498687.036821736,4777047800.00011
95,2024-03-07,1709769600,192959966.2369,13705769.737181803,2761305699.999995
96,2024-03-06,1709683200,546975889.6997,72602457.68049422,5765956800.000346
97,2024-03-05,1709596800,791059801.4953,96175122.46477042,15686729000.000322
98,2024-03-04,1709510400,513511666.8444,53599618.70199542,5378154800.000228
99,2024-03-03,1709424000,101904835.975,6173986.222965837,1647948299.9999928
100,2024-03-02,1709337600,77736645.8739,12096917.261895364,745953199.9999921
101,2024-03-01,1709251200,284606757.3918,16513115.843925305,2571903899.999998
102,2024-02-29,1709164800,584893928.6597,28365290.43641631,4913663800.000319
103,2024-02-28,1709078400,738134599.0926,36313575.619389266,11772481100.000225
104,2024-02-27,1708992000,424603402.4834,17388522.066826303,5395436400.000268
105,2024-02-26,1708905600,306012220.6689,5749164.258621163,3868029100.00006
106,2024-02-25,1708819200,93286342.5358,61304995.85669219,1485086799.9999914
107,2024-02-24,1708732800,84501347.229,14071181.82449651,1348274699.9999921
108,2024-02-23,1708646400,130640632.5878,16213610.130028328,1626120799.9999938
109,2024-02-22,1708560000,96722646.1159,10117607.316207986,1878219199.999989
110,2024-02-21,1708473600,271909580.4328,5020413.218584559,3052094000.000016
111,2024-02-20,1708387200,379929528.6468,4475502.657242358,4990809400.000267
112,2024-02-19,1708300800,187389180.1473,67150765.52802737,1802959099.999981
113,2024-02-18,1708214400,68900702.9468,5861185.581943879,1736006099.999974
114,2024-02-17,1708128000,83993546.4768,13773958.880742105,2495857700.000004
115,2024-02-16,1708041600,217379969.1393,10010602.404353503,2734245599.9999924
116,2024-02-15,1707955200,189308477.9183,23469517.62720568,3693630300.000042
117,2024-02-14,1707868800,183251915.8148,13653665.353391204,5859320600.000234
118,2024-02-13,1707782400,179241306.0707,19099926.84490466,5968141700.000299
119,2024-02-12,1707696000,200577556.511,20178364.564181723,5239541600.000094
120,2024-02-11,1707609600,62539840.1723,10253791.776939755,2572982300.0000267
121,2024-02-10,1707523200,46066703.6986,2795486.0926949144,1299764099.9999862
122,2024-02-09,1707436800,181176417.561,8062739.873002453,4801548400.000101
