,market_id,timestamp,funding_rate,time_hour,funding_rate_apy,Binance,Bybit,OKX,Synthetix
286,AAVE-USD,1716962400,2.8166119961864824e-05,2024-05-29 06:00,0.2798357330545507,0.1880627293958618,0.1206882386560672,0.0964636156098655,0.470630542193387
287,AAVE-USD,1716958800,2.712962577132154e-05,2024-05-29 05:00,0.2682681368617139,0.1877071646305925,0.121263158753025,0.096526765130694,
288,AAVE-USD,1716955200,6.934628013979248e-05,2024-05-29 04:00,0.8357485949867745,0.1885097421502091,0.1207215320448811,0.0964112618899049,
289,AAVE-USD,1716951600,7.217203533067656e-05,2024-05-29 03:00,0.8817538032210037,0.1881624210598833,0.1203160008869241,0.095755389417397,0.3306326892596219
290,AAVE-USD,1716948000,6.939582755824049e-05,2024-05-29 02:00,0.8365454924818725,0.1870308447760718,0.1207428984714416,0.0954592466411381,
291,AAVE-USD,1716944400,6.198907593168107e-05,2024-05-29 01:00,0.7211754783886619,0.1873545530676112,0.120307981895416,0.0955264166665847,
292,AAVE-USD,1716940800,7.772277811807965e-05,2024-05-29 00:00,0.9755070090467984,0.1878831910135556,0.1201891414622038,0.0957375372537159,2.005734986244129
293,AAVE-USD,1716937200,6.170425610281917e-05,2024-05-28 23:00,0.7168867259545164,0.1890595014846998,0.1201968912480315,0.0958247852660152,2.551636134432695
294,AAVE-USD,1716933600,5.9163314969858425e-05,2024-05-28 22:00,0.6790955887621155,0.1898332518797756,0.1202679607795107,0.096455247970844,3.0438377934760332
295,AAVE-USD,1716930000,6.544377163917434e-05,2024-05-28 21:00,0.7740564095628923,0.1894748136288324,0.1201475483728879,0.0966049747253992,3.0967035643941747
296,AAVE-USD,1716926400,6.679018671437676e-05,2024-05-28 20:00,0.7951031718081796,0.1896030028226873,0.1206569721397969,0.0966048066302793,3.0945145061522115
297,AAVE-USD,1716922800,5.9234020792943216e-05,2024-05-28 19:00,0.6801358525893588,0.1904422320214347,0.1203018624776552,0.0972796887656521,3.0921040577932324
298,AAVE-USD,1716919200,5.205531427684731e-05,2024-05-28 18:00,0.5777388031659991,0.1905241749910362,0.1206660971917021,0.0972757841594915,
