,market_id,timestamp,funding_rate,time_hour,funding_rate_apy,Binance,Bybit,OKX
555,BNB-USD,1715994000,-1.3943165710962991e-05,2024-05-18 01:00,-0.11497818376089863,0.17998227159761737,0.11386721022839508,0.08916584326758459
556,BNB-USD,1715990400,-8.816670431658979e-06,2024-05-18 00:00,-0.0743271249708436,0.1792384187566214,0.11405216849842281,0.08920690331602121
557,BNB-USD,1715986800,-7.108382548264713e-06,2024-05-17 23:00,-0.060370520756237056,0.1808201625180621,0.11393920441999494,0.08898732218776684
558,BNB-USD,1715983200,-9.312457031477867e-06,2024-05-17 22:00,-0.07833872483371829,0.1807715670963459,0.1147270143036967,0.08904958839361865
559,BNB-USD,1715979600,-1.920762786050714e-05,2024-05-17 21:00,-0.15486629722499934,0.1801396207909851,0.1150367726468906,0.08898035889596545
560,BNB-USD,1715976000,-1.3189249240967981e-05,2024-05-17 20:00,-0.10911380352507682,0.17927188380844394,0.11604072168675561,0.08895349579160094
561,BNB-USD,1715972400,-7.17182193347835e-06,2024-05-17 19:00,-0.06089255877863842,0.17855936845163556,0.11589319280001109,0.08826033958848067
562,BNB-USD,1715968800,-4.1305734109318444e-06,2024-05-17 18:00,-0.03553708544430478,0.1789907139213709,0.1147198358043664,0.08697760221422124
563,BNB-USD,1715965200,-5.069054010381691e-06,2024-05-17 17:00,-0.0434335549700966,0.18080414481175722,0.11485990348007813,0.09200657533547418
564,BNB-USD,1715961600,8.094875605824672e-06,2024-05-17 16:00,0.07348549170642293,0.18200918121719556,0.11489780544026695,0.09170197784492329
565,BNB-USD,1715958000,-2.726746126571484e-06,2024-05-17 15:00,-0.023603308204859563,0.1802209198419411,0.11573659055512175,0.08436442725870119
566,BNB-USD,1715954400,-4.08202533100888e-07,2024-05-17 14:00,-0.0035694691644440057,0.179413565621364,0.11610592507456508,0.08373438414301226
567,BNB-USD,1715950800,-5.658199976912791e-06,2024-05-17 13:00,-0.04835762570878399,0.1816224760404983,0.11696887538364176,0.08346702820010243
568,BNB-USD,1715947200,-1.6858462263857482e-05,2024-05-17 12:00,-0.13729404853622695,0.1815253247059203,0.1160117790196995,0.08324994342181058
