,blockNumber,timeStamp,hash,from,to,contractAddress,tokenName,tokenSymbol,value,tokenDecimal,gas,gasPrice,gasUsed,evt_block_time,cex_name,distinct_name,gasFee,timeStamp_midnight,TokenPrice_traded,ETH-USD,Volume,gasFee_inUSD,gasFee_percentage_bp
22,20009131,1717391579,0x6b3050b45c04585e7bae9791890103a143fba7d97dc0db94f0178063d4454519,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token,LINK,5695405600000000000000,18,42418,7469081058,34989,2024-06-03 05:12:59.000 UTC,Coinhako,Coinhako 5,0.000261335677138362,1717372800,18.14,3779.06,103314.657584,0.9876032040464983,0.09559178021216663
23,20009129,1717391555,0x7dae0cf7741c0626d5c8fcd68c60f2ac0a3bcd9c5273dd1cc85319245b335179,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0x4e15361fd6b4bb609fa63c81a2be19d873717870,Fantom Token,FTM,170520401000000000000000,18,48900,8181857851,40379,2024-06-03 05:12:35.000 UTC,Coinhako,Coinhako 5,0.000330375238165529,1717372800,0.7707,3779.06,131420.07305069998,1.248507847541824,0.09500130524658645
24,20005554,1717348415,0x9dd0e5e6f04b918960337adaf8aaecca868ae88dbd52d6f9519fd8cf38370c41,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xc221b7e65ffc80de234bbb6667abdd46593d34f0,Centrifuge,CFG,231378000000000000000000,18,137098,12796178681,34829,2024-06-02 17:13:35.000 UTC,OKX,OKX 81,0.00044567810728054905,1717286400,0.679,3812.81,157105.662,1.6992859442203503,0.10816197981587386
25,20005383,1717346363,0xb0bbab9acc37bb6ee494bf96b29d6c00be5447a07b87ff161e2764fb59a68c08,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token,LINK,2172000000000000000000,18,137485,21558976461,34977,2024-06-02 16:39:23.000 UTC,OKX,OKX 81,0.0007540683196763971,1717286400,18.42,3812.81,40008.240000000005,2.8751192299453634,0.7186317693418562
26,20003118,1717319003,0x71cb57d92a535f46efeb8079b2448f55112655bf6eea1e32ab074238dab66239,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xb528edbef013aff855ac3c50b381f253af13b997,Aevo,AEVO,611956000000000000000000,18,134388,8343350682,51284,2024-06-02 09:03:23.000 UTC,OKX,OKX 81,0.000427880396375688,1717286400,0.9003,3812.81,550943.9868,1.631426654105187,0.029611479446047872
27,19991406,1717177715,0x4d62786028b036de6f58ec96c2cc3c595192210cfdcdbc28f0b488569ad981b7,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,114563613683000000000000000000,18,42214,15966403978,34819,2024-05-31 17:48:35.000 UTC,Robinhood,Robinhood 4,0.000555934220109982,1717113600,2.589e-05,3746.97,2966051.95825287,2.0830688447254992,0.007023035584152459
28,19991091,1717173935,0x751f0ef63eefa3260cb8a843c9d85b2af1d64ed2796f1f019eff6e16be54aecb,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0xc00e94cb662c3520282e6f5717214004a7f26888,Compound,COMP,259316790000000000000,18,48860,21916616380,40346,2024-05-31 16:45:35.000 UTC,Robinhood,Robinhood 4,0.00088424780446748,1717113600,59.49,3746.97,15426.755837100001,3.3132499959055135,2.1477295880559906
29,19991027,1717173167,0x09dbd7e9cecd67f826adb13daa61f16b3619df972ceae93e3054f30bc2f3db1e,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,Matic Token,MATIC,109267000000000000000000,18,142545,29166808190,36916,2024-05-31 16:32:47.000 UTC,OKX,OKX 81,0.00107672189114204,1717113600,0.6962,3746.97,76071.6854,4.034444624452489,0.5303477375634021
30,19990810,1717170563,0xa06b2c3d6a773dfc0ad9f4395cbff888ef0026941dad037376dfd948976c09af,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,FLOKI,927196060000000000,9,84739,23788206418,67491,2024-05-31 15:49:23.000 UTC,Revolut,Revolut 3,0.001605489839357238,1717113600,0.0002483,3746.97,230222.781698,6.01572226337639,0.26130004246354954
31,19990807,1717170527,0x9b0740eb11920cad3ffd6c34386a8c28f19a808b852f977b0cd5a567f3d18c7e,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x6982508145454ce325ddbe47a25d4ec3d2311933,Pepe,PEPE,10507521591700000000000000000,18,52515,25488092886,43386,2024-05-31 15:48:47.000 UTC,Revolut,Revolut 3,0.001105826397951996,1717113600,1.439e-05,3746.97,151203.235704563,4.14349833833419,0.2740350309982915
